request_id,mol_id,xyz_path,xyz_status,notes
qreq_01b949b86e878978,mol_cyrmsutzvyginf-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_01b949b86e878978.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_451af86f453b04fb/xtbopt.xyz
qreq_fabd961cfad18f7d,mol_mizlgwkezapefj-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_fabd961cfad18f7d.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_793c80431543b963/xtbopt.xyz
qreq_1eaaafc4a4d4599a,mol_ajdizqlsfpqpey-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_1eaaafc4a4d4599a.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_dabbbe00062d590c/xtbopt.xyz
qreq_b2a35047086c26a6,mol_bqcidusakpweox-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_b2a35047086c26a6.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_acfee86277c25738/xtbopt.xyz
qreq_6131be2b66ca2220,mol_ddmousalmhhkos-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_6131be2b66ca2220.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_85214fd0f9939535/xtbopt.xyz
qreq_11406c03c69cbb76,mol_bamuexipksrtbs-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_11406c03c69cbb76.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_6e1ff27ce6594a76/xtbopt.xyz
qreq_cadbbe78f7778e43,mol_rfcauadvodfslz-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_cadbbe78f7778e43.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_68755da2689d9b0c/xtbopt.xyz
qreq_8efc7fa4ee8ed5ac,mol_vggsqfucumxweo-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_8efc7fa4ee8ed5ac.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_76295c8587ab7ca3/xtbopt.xyz
qreq_040758cd3cf4df3a,mol_wmiykqltonqjes-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_040758cd3cf4df3a.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_3fb023cde47fba61/xtbopt.xyz
qreq_96193e583f161b06,mol_pxbrqckwgahehs-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_96193e583f161b06.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_397c558e01398e9a/xtbopt.xyz
qreq_f24c52ee275ce8e2,mol_ohmhbgpwchtmqe-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_f24c52ee275ce8e2.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_9d4e941dbcba43dd/xtbopt.xyz
qreq_9c9369028e430aa1,mol_ldtmpqqawumpks-owojbtedsa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_9c9369028e430aa1.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_812f8780c08c6013/xtbopt.xyz
qreq_582a974263866bbb,mol_fxrlmcrcydhqfw-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_582a974263866bbb.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_3006c4a85e074cd4/xtbopt.xyz
qreq_c8b970502c0bce4b,mol_cdooaushhfgwsa-owojbtedsa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_c8b970502c0bce4b.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_5716a6e5f61b2163/xtbopt.xyz
qreq_cf441aa6fdeb374b,mol_cdooaushhfgwsa-uphrsurjsa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_cf441aa6fdeb374b.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_6a73f82efdc1e941/xtbopt.xyz
qreq_16d842d117c98231,mol_bougcjdaqlkbqh-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_16d842d117c98231.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_4ee26b6711da2d43/xtbopt.xyz
qreq_75c3c30e9533cc9d,mol_fdmfuzhcirhgrg-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_75c3c30e9533cc9d.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_23819a123f66e55b/xtbopt.xyz
qreq_4813ae80d476e108,mol_gtlacdsxyulkmz-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_4813ae80d476e108.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_b1b84ff6c1ce26fd/xtbopt.xyz
qreq_405fdd184fab7b4e,mol_afypfacvudmoha-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_405fdd184fab7b4e.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_1964224e3114dee7/xtbopt.xyz
qreq_1becfb2c0337ad53,mol_nlolsxyrjfeota-owojbtedsa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_1becfb2c0337ad53.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_768a92016b55750f/xtbopt.xyz
qreq_f1686c500714da51,mol_wxgnwuvnymjeni-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_f1686c500714da51.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_0d0e1013c6f83e2c/xtbopt.xyz
qreq_f9d96d00154e8754,mol_lvguzgtvoiakkc-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_f9d96d00154e8754.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_1ae8eb2731515128/xtbopt.xyz
qreq_231a28f685fa7f0a,mol_vpayjeuhkvessd-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_231a28f685fa7f0a.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_023fc363a5eed1d7/xtbopt.xyz
qreq_1f88b8874a541dc6,mol_txeyqdlbpfqvaa-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_1f88b8874a541dc6.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_41c85ba9cddffd06/xtbopt.xyz
qreq_318df98d73bae6e4,mol_frchksnazzfgca-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_318df98d73bae6e4.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_fe09f64af63b93d0/xtbopt.xyz
qreq_6840da912a3a72c3,mol_bhnzezwiumjcgf-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_6840da912a3a72c3.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_bdd4b63895efcf43/xtbopt.xyz
qreq_dc4ae1e97a942a59,mol_wgzyqosevsxdni-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_dc4ae1e97a942a59.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_ff675f0a83e0ff09/xtbopt.xyz
qreq_742d66a671219f01,mol_ujpmyeoubpiphq-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_742d66a671219f01.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_e09229e346337824/xtbopt.xyz
qreq_fce696b354cb49b4,mol_ahfmsndoycfeph-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_fce696b354cb49b4.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_a593766a9030d410/xtbopt.xyz
qreq_1659e1fc485cd512,mol_npnpztnlovbdoc-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_1659e1fc485cd512.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_c4e956b4882b3da9/xtbopt.xyz
qreq_849ff07c9288156a,mol_uhcbbwuqdavsms-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_849ff07c9288156a.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_3692175366022297/xtbopt.xyz
qreq_a3ccf14e44424f89,mol_otmsdbzupauedd-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_a3ccf14e44424f89.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_4e06eeb7fb36f82b/xtbopt.xyz
qreq_7649b87c3ddeb346,mol_umnkxpulidjlsu-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_7649b87c3ddeb346.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_fc864a777b886ebe/xtbopt.xyz
qreq_1690c1491e9c9662,mol_qysgyzvsczslht-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_1690c1491e9c9662.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_030b1aa9a94d0f9f/xtbopt.xyz
qreq_0504dcb42f7d61fe,mol_vopwnxzwbydodv-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_0504dcb42f7d61fe.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_42936f2e8d47f97e/xtbopt.xyz
qreq_6c7effe7591df18d,mol_yfmfnykeudldtl-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_6c7effe7591df18d.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_7409b07997e96b1f/xtbopt.xyz
qreq_641c52bd85906d04,mol_xpdwgbqvdmorpb-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_641c52bd85906d04.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_95d9aae33b95135b/xtbopt.xyz
qreq_be14bda3b9853c21,mol_fyirupztypildh-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_be14bda3b9853c21.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_03721bb6b2f4c435/xtbopt.xyz
qreq_05f130e0a65ce18c,mol_nsgxibwmjzwtpy-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_05f130e0a65ce18c.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_7dedcb23dc4b48ce/xtbopt.xyz
qreq_353659ea2038ff9d,mol_awtofsdlnreifs-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_353659ea2038ff9d.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_2d80adc47a5db8a9/xtbopt.xyz
qreq_4869cfa2de69d73e,mol_mssnhsvigihoja-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_4869cfa2de69d73e.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_2468622b8566b7a8/xtbopt.xyz
qreq_06e4e72d49c0c872,mol_rwriwbaiicgttq-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_06e4e72d49c0c872.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_1721dd29a5f82ba7/xtbopt.xyz
qreq_90d42e554321c3c5,mol_wzlfpvprzgtckp-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_90d42e554321c3c5.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_258ae6cf1f745439/xtbopt.xyz
qreq_a5f1a85877a03bb6,mol_nehmkbqyuwjmip-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_a5f1a85877a03bb6.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_995eb861bf73a8d0/xtbopt.xyz
qreq_2b3b2eb4f83a9718,mol_nbvxsuqywxrmnv-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_2b3b2eb4f83a9718.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_2968e9ed041dc5df/xtbopt.xyz
qreq_ab55ed2af0b7e18b,mol_vnwktokethgbqd-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_ab55ed2af0b7e18b.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_4bc62fd46818553d/xtbopt.xyz
qreq_59932a8c05cc7b53,mol_tzihfwkzfhzasv-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_59932a8c05cc7b53.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_62d1e6a2653503dc/xtbopt.xyz
qreq_887fe8b2980a712d,mol_ufhflcqgniynrp-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_887fe8b2980a712d.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_604b490c1ec2a355/xtbopt.xyz
qreq_68d2bbb0eb5be7da,mol_swqjxjoglnczey-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_68d2bbb0eb5be7da.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_10785462c7c9d313/xtbopt.xyz
qreq_32f137de422f887e,mol_gkaogpiiycishv-uhfffaoysa-n,data/raw/generated/governance_dft_singlepoint_xyz/qreq_32f137de422f887e.xyz,generated,governance DFT executed XYZ input; source=/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_195360bfb8d39ca5/xtbopt.xyz
