substance_id,refrigerant_number,mol_id,target_output,blocker_type,blocker_reason,recommended_next_action,artifact_uri,notes
SUB106,FK-5-1-12,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB031,R-11,mol_cyrmsutzvyginf-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB031,R-11,mol_cyrmsutzvyginf-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB108,R-111,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB088,R-1112a,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB083,R-1113,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB117,R-1114,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB112,R-112,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB125,R-1120,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB131,R-1123,mol_mizlgwkezapefj-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB131,R-1123,mol_mizlgwkezapefj-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB111,R-112a,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB034,R-113,mol_ajdizqlsfpqpey-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB034,R-113,mol_ajdizqlsfpqpey-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB069,R-1130(E),,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB071,R-1132(E),,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB070,R-1132a,mol_bqcidusakpweox-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB070,R-1132a,mol_bqcidusakpweox-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB128,R-113a,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB035,R-114,mol_ddmousalmhhkos-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB035,R-114,mol_ddmousalmhhkos-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB076,R-1140,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB100,R-1141,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB085,R-114B2,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB094,R-114a,mol_bamuexipksrtbs-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB094,R-114a,mol_bamuexipksrtbs-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB036,R-115,mol_rfcauadvodfslz-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB036,R-115,mol_rfcauadvodfslz-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB030,R-1150,mol_vggsqfucumxweo-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB030,R-1150,mol_vggsqfucumxweo-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB051,R-116,mol_wmiykqltonqjes-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB051,R-116,mol_wmiykqltonqjes-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB032,R-12,mol_pxbrqckwgahehs-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB032,R-12,mol_pxbrqckwgahehs-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB107,R-120,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB115,R-121,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB102,R-1216,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB114,R-121a,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB121,R-122,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB012,R-1224yd(Z),,phase2_quantum_compute,unmapped_governance_substance,no_molecule_core_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB122,R-122a,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB120,R-122b,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB038,R-123,mol_ohmhbgpwchtmqe-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB038,R-123,mol_ohmhbgpwchtmqe-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB011,R-1233zd(E),mol_ldtmpqqawumpks-owojbtedsa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB011,R-1233zd(E),mol_ldtmpqqawumpks-owojbtedsa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB009,R-1234yf,mol_fxrlmcrcydhqfw-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB009,R-1234yf,mol_fxrlmcrcydhqfw-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB010,R-1234ze(E),mol_cdooaushhfgwsa-owojbtedsa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB010,R-1234ze(E),mol_cdooaushhfgwsa-owojbtedsa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB119,R-1234ze(Z),mol_cdooaushhfgwsa-uphrsurjsa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB119,R-1234ze(Z),mol_cdooaushhfgwsa-uphrsurjsa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB095,R-123a,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB039,R-124,mol_bougcjdaqlkbqh-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB039,R-124,mol_bougcjdaqlkbqh-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB135,R-1243zf,mol_fdmfuzhcirhgrg-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB135,R-1243zf,mol_fdmfuzhcirhgrg-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB079,R-124a,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB002,R-125,mol_gtlacdsxyulkmz-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB002,R-125,mol_gtlacdsxyulkmz-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB029,R-1270,mol_qqonpfptgqhpma-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB029,R-1270,mol_qqonpfptgqhpma-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB043,R-12B1,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB084,R-12B2,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB033,R-13,mol_afypfacvudmoha-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB033,R-13,mol_afypfacvudmoha-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB113,R-130,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB126,R-131,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB087,R-132,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB086,R-132b,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB081,R-133,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB013,R-1336mzz(E),mol_nlolsxyrjfeota-owojbtedsa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB013,R-1336mzz(E),mol_nlolsxyrjfeota-owojbtedsa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB014,R-1336mzz(Z),,phase2_quantum_compute,unmapped_governance_substance,no_molecule_core_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB082,R-133a,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB080,R-133b,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB116,R-134,mol_wxgnwuvnymjeni-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB116,R-134,mol_wxgnwuvnymjeni-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB003,R-134a,mol_lvguzgtvoiakkc-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB003,R-134a,mol_lvguzgtvoiakkc-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB044,R-13B1,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB042,R-13I1,mol_vpayjeuhkvessd-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB042,R-13I1,mol_vpayjeuhkvessd-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB045,R-14,mol_txeyqdlbpfqvaa-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB045,R-14,mol_txeyqdlbpfqvaa-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB124,R-140,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB123,R-140a,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB091,R-141,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB040,R-141b,mol_frchksnazzfgca-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB040,R-141b,mol_frchksnazzfgca-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB074,R-142,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB041,R-142b,mol_bhnzezwiumjcgf-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB041,R-142b,mol_bhnzezwiumjcgf-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB129,R-143,mol_wgzyqosevsxdni-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB129,R-143,mol_wgzyqosevsxdni-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB017,R-143a,mol_ujpmyeoubpiphq-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB017,R-143a,mol_ujpmyeoubpiphq-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB090,R-150,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB089,R-150a,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB078,R-151,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB077,R-151a,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
