request_id,mol_id,canonical_smiles,isomeric_smiles,program,method_family,theory_level,basis_set,solvation_model,status,recommended_next_action,notes
qreq_793c80431543b963,mol_mizlgwkezapefj-uhfffaoysa-n,FC=C(F)F,FC=C(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB131; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_dabbbe00062d590c,mol_ajdizqlsfpqpey-uhfffaoysa-n,FC(F)(Cl)C(F)(Cl)Cl,FC(F)(Cl)C(F)(Cl)Cl,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB034; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_acfee86277c25738,mol_bqcidusakpweox-uhfffaoysa-n,C=C(F)F,C=C(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB070; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_85214fd0f9939535,mol_ddmousalmhhkos-uhfffaoysa-n,FC(F)(Cl)C(F)(F)Cl,FC(F)(Cl)C(F)(F)Cl,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB035; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_6e1ff27ce6594a76,mol_bamuexipksrtbs-uhfffaoysa-n,FC(F)(F)C(F)(Cl)Cl,FC(F)(F)C(F)(Cl)Cl,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB094; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_68755da2689d9b0c,mol_rfcauadvodfslz-uhfffaoysa-n,FC(F)(F)C(F)(F)Cl,FC(F)(F)C(F)(F)Cl,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB036; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_76295c8587ab7ca3,mol_vggsqfucumxweo-uhfffaoysa-n,C=C,C=C,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB030; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_3fb023cde47fba61,mol_wmiykqltonqjes-uhfffaoysa-n,FC(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB051; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_812f8780c08c6013,mol_ldtmpqqawumpks-owojbtedsa-n,FC(F)(F)C=CCl,FC(F)(F)/C=C/Cl,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB011; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_6a73f82efdc1e941,mol_cdooaushhfgwsa-uphrsurjsa-n,FC=CC(F)(F)F,F/C=C\C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB119; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_23819a123f66e55b,mol_fdmfuzhcirhgrg-uhfffaoysa-n,C=CC(F)(F)F,C=CC(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB135; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_1964224e3114dee7,mol_afypfacvudmoha-uhfffaoysa-n,FC(F)(F)Cl,FC(F)(F)Cl,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB033; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_768a92016b55750f,mol_nlolsxyrjfeota-owojbtedsa-n,FC(F)(F)C=CC(F)(F)F,FC(F)(F)/C=C/C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB013; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_0d0e1013c6f83e2c,mol_wxgnwuvnymjeni-uhfffaoysa-n,FC(F)C(F)F,FC(F)C(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB116; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_023fc363a5eed1d7,mol_vpayjeuhkvessd-uhfffaoysa-n,FC(F)(F)I,FC(F)(F)I,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB042; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_41c85ba9cddffd06,mol_txeyqdlbpfqvaa-uhfffaoysa-n,FC(F)(F)F,FC(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB045; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_fe09f64af63b93d0,mol_frchksnazzfgca-uhfffaoysa-n,CC(F)(Cl)Cl,CC(F)(Cl)Cl,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB040; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_ff675f0a83e0ff09,mol_wgzyqosevsxdni-uhfffaoysa-n,FCC(F)F,FCC(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB129; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_a593766a9030d410,mol_ahfmsndoycfeph-uhfffaoysa-n,FCCF,FCCF,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB096; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_3692175366022297,mol_uhcbbwuqdavsms-uhfffaoysa-n,CCF,CCF,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB099; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_4e06eeb7fb36f82b,mol_otmsdbzupauedd-uhfffaoysa-n,CC,CC,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB026; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_fc864a777b886ebe,mol_umnkxpulidjlsu-uhfffaoysa-n,FC(Cl)Cl,FC(Cl)Cl,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB046; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_95d9aae33b95135b,mol_xpdwgbqvdmorpb-uhfffaoysa-n,FC(F)F,FC(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB015; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_03721bb6b2f4c435,mol_fyirupztypildh-uhfffaoysa-n,FC(F)C(F)C(F)(F)F,FC(F)C(F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB020; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_2d80adc47a5db8a9,mol_awtofsdlnreifs-uhfffaoysa-n,FCC(F)(F)C(F)F,FCC(F)(F)C(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB022; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_258ae6cf1f745439,mol_wzlfpvprzgtckp-uhfffaoysa-n,CC(F)(F)CC(F)(F)F,CC(F)(F)CC(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB024; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_995eb861bf73a8d0,mol_nehmkbqyuwjmip-uhfffaoysa-n,CCl,CCl,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB049; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_2968e9ed041dc5df,mol_nbvxsuqywxrmnv-uhfffaoysa-n,CF,CF,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB016; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_4bc62fd46818553d,mol_vnwktokethgbqd-uhfffaoysa-n,C,C,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB050; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_62d1e6a2653503dc,mol_tzihfwkzfhzasv-uhfffaoysa-n,COC=O,COC=O,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB057; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_604b490c1ec2a355,mol_ufhflcqgniynrp-uhfffaoysa-n,[HH],[HH],xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB060; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_10785462c7c9d313,mol_swqjxjoglnczey-uhfffaoysa-n,[He],[He],xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB061; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_195360bfb8d39ca5,mol_gkaogpiiycishv-uhfffaoysa-n,[Ne],[Ne],xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB063; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_2bb701254a8634bc,mol_ijgrmhoshxdmsa-uhfffaoysa-n,N#N,N#N,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB064; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_a28744f46b82c10c,mol_mymofizgzyhomd-uhfffaoysa-n,O=O,O=O,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB065; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_30477401480e461b,mol_xkrfyhlgvusroy-uhfffaoysa-n,[Ar],[Ar],xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB066; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_a0882ffcd89786cb,mol_gqplmrytrlflpf-uhfffaoysa-n,[N-]=[N+]=O,[N-]=[N+]=O,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB067; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_f21d10a38d15d534,mol_rahzwnyvwxnfoc-uhfffaoysa-n,O=S=O,O=S=O,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB068; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
