mol_id,seed_id,r_number,canonical_smiles,coverage_tier,entity_scope,property_name,canonical_feature_key,missing_feature_key,recommended_action,priority
mol_mwwathdpgqksar-uhfffaoysa-n,seed_propyne,,C#CC,B,candidate,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,208
mol_nehmkbqyuwjmip-uhfffaoysa-n,seed_r40,R-40,CCl,B,refrigerant,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,208
mol_nlolsxyrjfeota-owojbtedsa-n,seed_r1336mzze,R-1336mzz(E),FC(F)(F)C=CC(F)(F)F,B,refrigerant,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,208
mol_pxgokwxkjxapgv-uhfffaoysa-n,seed_fluorine,,FF,B,candidate,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,208
mol_rahzwnyvwxnfoc-uhfffaoysa-n,seed_sulfurdioxide,R-764,O=S=O,B,refrigerant,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,208
mol_rmlfhpwptxwznj-uhfffaoysa-n,seed_novec649,,O=C(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,B,candidate,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,208
mol_rtzkzfjdlaiyfh-uhfffaoysa-n,seed_diethylether,,CCOCC,B,refrigerant,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,208
mol_rwsotubldixvet-uhfffaoysa-n,seed_hydrogensulfide,,S,B,candidate,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,208
mol_ugfairiumavxcw-uhfffaoysa-n,seed_carbonmonoxide,,[C-]#[O+],B,refrigerant,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,208
mol_uhcbbwuqdavsms-uhfffaoysa-n,seed_r161,R-161,CCF,B,refrigerant,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,208
mol_umnkxpulidjlsu-uhfffaoysa-n,seed_r21,R-21,FC(Cl)Cl,B,refrigerant,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,208
mol_vexzgxhmugyjmc-uhfffaoysa-n,seed_hydrogenchloride,,Cl,B,candidate,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,208
mol_vggsqfucumxweo-uhfffaoysa-n,seed_ethylene,R-1150,C=C,B,refrigerant,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,208
mol_vpayjeuhkvessd-uhfffaoysa-n,seed_r13i1,R-13I1,FC(F)(F)I,B,refrigerant,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,208
mol_vqtubccksqidnk-uhfffaoysa-n,seed_isobutene,,C=C(C)C,B,candidate,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,208
mol_vxnzuuainfgpby-uhfffaoysa-n,seed_1_butene,,C=CCC,B,candidate,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,208
mol_xdtmqsrobmdmfd-uhfffaoysa-n,seed_cyclohexane,,C1CCCCC1,B,refrigerant,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,208
mol_afabghuzzdyhjo-uhfffaoysa-n,seed_isohexane,,CCCC(C)C,B,candidate,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_awtofsdlnreifs-uhfffaoysa-n,seed_r245ca,R-245ca,FCC(F)(F)C(F)F,B,refrigerant,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_crsoqbowxpbres-uhfffaoysa-n,seed_neopentane,,CC(C)(C)C,B,candidate,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_cscppacgzoocgx-uhfffaoysa-n,seed_acetone,,CC(C)=O,B,refrigerant,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_fdmfuzhcirhgrg-uhfffaoysa-n,seed_r1243zf,R-1243zf,C=CC(F)(F)F,B,refrigerant,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_gqplmrytrlflpf-uhfffaoysa-n,seed_nitrousoxide,R-744A,[N-]=[N+]=O,B,refrigerant,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_iaqrguvfomomem-arjawskdsa-n,seed_cis_2_butene,,CC=CC,B,candidate,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_iaqrguvfomomem-onegzznksa-n,seed_trans_2_butene,,CC=CC,B,candidate,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_jjwkpuradfrfrb-uhfffaoysa-n,seed_carbonylsulfide,,O=C=S,B,candidate,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_jrhmnrmpvrxnos-uhfffaoysa-n,seed_hfe143m,,COC(F)(F)F,B,candidate,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_lvzwsljzhvfiqj-uhfffaoysa-n,seed_cyclopropane,,C1CC1,B,refrigerant,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_mwwathdpgqksar-uhfffaoysa-n,seed_propyne,,C#CC,B,candidate,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_nehmkbqyuwjmip-uhfffaoysa-n,seed_r40,R-40,CCl,B,refrigerant,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_nlolsxyrjfeota-owojbtedsa-n,seed_r1336mzze,R-1336mzz(E),FC(F)(F)C=CC(F)(F)F,B,refrigerant,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_pxgokwxkjxapgv-uhfffaoysa-n,seed_fluorine,,FF,B,candidate,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_rahzwnyvwxnfoc-uhfffaoysa-n,seed_sulfurdioxide,R-764,O=S=O,B,refrigerant,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_rmlfhpwptxwznj-uhfffaoysa-n,seed_novec649,,O=C(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,B,candidate,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_rtzkzfjdlaiyfh-uhfffaoysa-n,seed_diethylether,,CCOCC,B,refrigerant,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_ugfairiumavxcw-uhfffaoysa-n,seed_carbonmonoxide,,[C-]#[O+],B,refrigerant,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_uhcbbwuqdavsms-uhfffaoysa-n,seed_r161,R-161,CCF,B,refrigerant,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_umnkxpulidjlsu-uhfffaoysa-n,seed_r21,R-21,FC(Cl)Cl,B,refrigerant,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_vexzgxhmugyjmc-uhfffaoysa-n,seed_hydrogenchloride,,Cl,B,candidate,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_vggsqfucumxweo-uhfffaoysa-n,seed_ethylene,R-1150,C=C,B,refrigerant,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_vpayjeuhkvessd-uhfffaoysa-n,seed_r13i1,R-13I1,FC(F)(F)I,B,refrigerant,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_vqtubccksqidnk-uhfffaoysa-n,seed_isobutene,,C=C(C)C,B,candidate,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_vxnzuuainfgpby-uhfffaoysa-n,seed_1_butene,,C=CCC,B,candidate,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_dmupymoryhffct-owojbtedsa-n,tierc_candidate_1225yee,R-1225ye(E),FC=C(F)C(F)(F)F,C,candidate,boiling_point_c,thermodynamic.normal_boiling_temperature,thermodynamic.normal_boiling_temperature,manual_curation,301
mol_dmupymoryhffct-owojbtedsa-n,tierc_candidate_1225yee,R-1225ye(E),FC=C(F)C(F)(F)F,C,candidate,critical_temp_c,thermodynamic.critical_temperature,thermodynamic.critical_temperature,manual_curation,302
mol_dmupymoryhffct-owojbtedsa-n,tierc_candidate_1225yee,R-1225ye(E),FC=C(F)C(F)(F)F,C,candidate,critical_pressure_mpa,thermodynamic.critical_pressure,thermodynamic.critical_pressure,manual_curation,303
mol_dmupymoryhffct-owojbtedsa-n,tierc_candidate_1225yee,R-1225ye(E),FC=C(F)C(F)(F)F,C,candidate,gwp_100yr,environmental.gwp_100yr,environmental.gwp_100yr,literature_search,304
mol_dmupymoryhffct-uphrsurjsa-n,tierc_candidate_1225yez,R-1225ye(Z),FC=C(F)C(F)(F)F,C,candidate,gwp_100yr,environmental.gwp_100yr,environmental.gwp_100yr,literature_search,304
mol_dnnsswssydeubz-uhfffaoysa-n,seed_krypton,,[Kr],C,candidate,gwp_100yr,environmental.gwp_100yr,environmental.gwp_100yr,literature_search,304
mol_fhnfhkcvqcljfq-uhfffaoysa-n,seed_xenon,,[Xe],C,candidate,gwp_100yr,environmental.gwp_100yr,environmental.gwp_100yr,literature_search,304
mol_gkaogpiiycishv-uhfffaoysa-n,seed_neon,R-720,[Ne],C,refrigerant,gwp_100yr,environmental.gwp_100yr,environmental.gwp_100yr,literature_search,304
mol_mymofizgzyhomd-uhfffaoysa-n,seed_oxygen,R-732,O=O,C,refrigerant,gwp_100yr,environmental.gwp_100yr,environmental.gwp_100yr,literature_search,304
mol_swqjxjoglnczey-uhfffaoysa-n,seed_helium,R-704,[He],C,refrigerant,gwp_100yr,environmental.gwp_100yr,environmental.gwp_100yr,literature_search,304
mol_ufhflcqgniynrp-vvkomztbsa-n,seed_deuterium,,[H][H],C,candidate,gwp_100yr,environmental.gwp_100yr,environmental.gwp_100yr,literature_search,304
mol_wflotyskfupzqb-owojbtedsa-n,tierc_candidate_dfe_e,,FC=CF,C,candidate,gwp_100yr,environmental.gwp_100yr,environmental.gwp_100yr,literature_search,304
mol_wflotyskfupzqb-uphrsurjsa-n,tierc_candidate_dfe_z,,FC=CF,C,candidate,gwp_100yr,environmental.gwp_100yr,environmental.gwp_100yr,literature_search,304
mol_xkrfyhlgvusroy-uhfffaoysa-n,seed_argon,R-740,[Ar],C,refrigerant,gwp_100yr,environmental.gwp_100yr,environmental.gwp_100yr,literature_search,304
mol_xlyofnoqvpjjnp-zsjdyoacsa-n,seed_heavywater,,[H]O[H],C,candidate,gwp_100yr,environmental.gwp_100yr,environmental.gwp_100yr,literature_search,304
mol_wsldoozrejycgb-uhfffaoysa-n,seed_dichloroethane,,ClCCCl,C,candidate,odp,environmental.odp,environmental.odp,literature_search,305
mol_adanntoyrvpqlj-uhfffaoysa-n,seed_md4m,,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,C,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,306
mol_ctqngglpubdakn-uhfffaoysa-n,seed_o_xylene,,Cc1ccccc1C,C,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,306
mol_cxqxsvuqtkdnfp-uhfffaoysa-n,seed_mdm,,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,C,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,306
mol_dmupymoryhffct-owojbtedsa-n,tierc_candidate_1225yee,R-1225ye(E),FC=C(F)C(F)(F)F,C,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,306
mol_dmupymoryhffct-uphrsurjsa-n,tierc_candidate_1225yez,R-1225ye(Z),FC=C(F)C(F)(F)F,C,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,306
mol_dnnsswssydeubz-uhfffaoysa-n,seed_krypton,,[Kr],C,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,306
mol_dvwsxzihsuzzkj-ystujmkbsa-n,seed_methyllinolenate,,CCC=CCC=CCC=CCCCCCCCC(=O)OC,C,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,306
mol_fbzanxdwqavstq-uhfffaoysa-n,seed_md3m,,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,C,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,306
mol_fhnfhkcvqcljfq-uhfffaoysa-n,seed_xenon,,[Xe],C,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,306
mol_fliacvvozybsbs-uhfffaoysa-n,seed_methylpalmitate,,CCCCCCCCCCCCCCCC(=O)OC,C,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,306
mol_hmmgmwaxvfquoa-uhfffaoysa-n,seed_d4,,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,C,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,306
mol_hpeujpjozxnmsj-uhfffaoysa-n,seed_methylstearate,,CCCCCCCCCCCCCCCCCC(=O)OC,C,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,306
mol_iaypibmasnfspl-uhfffaoysa-n,seed_ethyleneoxide,,C1CO1,C,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,306
mol_iejigpnlzyllbp-uhfffaoysa-n,seed_dimethylcarbonate,,COC(=O)OC,C,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,306
mol_iumsdrxlfwagnt-uhfffaoysa-n,seed_d6,,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,C,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,306
mol_ivszlxzyqviefr-uhfffaoysa-n,seed_m_xylene,,Cc1cccc(C)c1,C,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,306
mol_mizlgwkezapefj-uhfffaoysa-n,tierc_candidate_r1123,R-1123,FC=C(F)F,C,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,306
mol_mymofizgzyhomd-uhfffaoysa-n,seed_oxygen,R-732,O=O,C,refrigerant,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,306
mol_qydypvfesgnlhu-khpplwfesa-n,seed_methyloleate,,CCCCCCCCC=CCCCCCCCC(=O)OC,C,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,306
mol_rsjkgscjyjtigs-uhfffaoysa-n,seed_n_undecane,,CCCCCCCCCCC,C,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,306
mol_snrubqqjibeymu-uhfffaoysa-n,seed_n_dodecane,,CCCCCCCCCCCC,C,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,306
mol_ufhflcqgniynrp-vvkomztbsa-n,seed_deuterium,,[H][H],C,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,306
mol_uhovqnzjysornb-uhfffaoysa-n,seed_benzene,,c1ccccc1,C,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,306
mol_uqeaihbtyfgyie-uhfffaoysa-n,seed_mm,,C[Si](C)(C)O[Si](C)(C)C,C,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,306
mol_urlkbwyhvlbvbo-uhfffaoysa-n,seed_p_xylene,,Cc1ccc(C)cc1,C,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,306
mol_wflotyskfupzqb-uphrsurjsa-n,tierc_candidate_dfe_z,,FC=CF,C,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,306
mol_wsldoozrejycgb-uhfffaoysa-n,seed_dichloroethane,,ClCCCl,C,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,306
mol_wttjvinhcbclgx-nqlntkrdsa-n,seed_methyllinoleate,,CCCCCC=CCC=CCCCCCCCC(=O)OC,C,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,306
mol_xlyofnoqvpjjnp-zsjdyoacsa-n,seed_heavywater,,[H]O[H],C,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,306
mol_xmsxqfuhvrwgna-uhfffaoysa-n,seed_d5,,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,C,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,306
mol_yfcgdeuvhlprcz-uhfffaoysa-n,seed_md2m,,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,C,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,306
mol_ynqlutrbyvcpmq-uhfffaoysa-n,seed_ethylbenzene,,CCc1ccccc1,C,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,306
mol_yxfvvabegxronw-uhfffaoysa-n,seed_toluene,,Cc1ccccc1,C,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,306
mol_adanntoyrvpqlj-uhfffaoysa-n,seed_md4m,,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,C,candidate,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,307
mol_ctqngglpubdakn-uhfffaoysa-n,seed_o_xylene,,Cc1ccccc1C,C,candidate,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,307
mol_cxqxsvuqtkdnfp-uhfffaoysa-n,seed_mdm,,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,C,candidate,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,307
mol_dmupymoryhffct-owojbtedsa-n,tierc_candidate_1225yee,R-1225ye(E),FC=C(F)C(F)(F)F,C,candidate,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,307
mol_dmupymoryhffct-uphrsurjsa-n,tierc_candidate_1225yez,R-1225ye(Z),FC=C(F)C(F)(F)F,C,candidate,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,307
mol_dnnsswssydeubz-uhfffaoysa-n,seed_krypton,,[Kr],C,candidate,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,307
mol_dvwsxzihsuzzkj-ystujmkbsa-n,seed_methyllinolenate,,CCC=CCC=CCC=CCCCCCCCC(=O)OC,C,candidate,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,307
mol_fbzanxdwqavstq-uhfffaoysa-n,seed_md3m,,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,C,candidate,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,307
